dataset_id,role_id,condition_id,condition_short,n_budgets,budget_sequence,delta_sequence,sign_flip_count,delta_BACC_mean,delta_BACC_median,delta_BACC_min,delta_BACC_max,peak_budget,peak_delta_BACC,trough_budget,trough_delta_BACC,non_monotonic_direction
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,9,1|4|8|16|32|64|128|256|FULL,0.006944|-0.072917|-0.003472|-0.041667|0.027778|0.027778|-0.031250|0.013889|-0.045139,5,-0.0131172839506173,-0.0034722222222221,-0.0729166666666666,0.0277777777777777,32,0.0277777777777777,4,-0.0729166666666666,True
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,-0.003472|-0.086806|0.010417|-0.027778|0.052083|0.041667|-0.031250|0.000000|-0.031250,4,-0.0084876543209876,-0.0034722222222222,-0.0868055555555554,0.0520833333333333,32,0.0520833333333333,4,-0.0868055555555554,True
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,-0.020833|-0.059028|0.020833|-0.034722|0.052083|0.083333|-0.062500|0.013889|-0.045139,6,-0.005787037037037,-0.0208333333333333,-0.0625,0.0833333333333332,64,0.0833333333333332,128,-0.0625,True
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,0.062500|0.038194|0.017361|-0.010417|-0.006944|-0.048611|0.020833|0.045139|0.052083,2,0.0189043209876543,0.0208333333333333,-0.048611111111111,0.0625,1,0.0625,64,-0.048611111111111,True
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.024306|0.003472|-0.017361|0.003472|0.003472|-0.024306|0.034722|0.048611|0.090278,4,0.0185185185185185,0.0034722222222222,-0.0243055555555554,0.0902777777777777,FULL,0.0902777777777777,64,-0.0243055555555554,True
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,9,1|4|8|16|32|64|128|256|FULL,-0.011667|0.010000|-0.031667|0.026667|-0.028333|0.040000|0.051667|0.026667|0.030000,5,0.0125925925925925,0.0266666666666666,-0.0316666666666667,0.0516666666666666,128,0.0516666666666666,8,-0.0316666666666667,True
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,-0.003333|0.003333|-0.006667|0.011667|-0.048333|0.013333|-0.025000|-0.010000|0.028333,7,-0.004074074074074,-0.0033333333333334,-0.0483333333333333,0.0283333333333333,FULL,0.0283333333333333,32,-0.0483333333333333,True
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.008333|0.018333|-0.010000|0.013333|-0.048333|-0.023333|-0.013333|-0.033333|0.026667,4,-0.0068518518518518,-0.01,-0.0483333333333333,0.0266666666666667,FULL,0.0266666666666667,32,-0.0483333333333333,True
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,0.006667|0.025000|0.018333|0.026667|-0.026667|0.020000|-0.015000|0.003333|-0.010000,5,0.0053703703703703,0.0066666666666667,-0.0266666666666666,0.0266666666666666,16,0.0266666666666666,32,-0.0266666666666666,True
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.033333|0.015000|0.031667|0.043333|0.011667|0.036667|-0.023333|-0.001667|-0.008333,1,0.0153703703703703,0.015,-0.0233333333333333,0.0433333333333332,16,0.0433333333333332,128,-0.0233333333333333,True
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,9,1|4|8|16|32|64|128|256|FULL,0.015361|0.032609|-0.003953|-0.037999|-0.018685|0.020931|0.004042|0.040963|0.035393,2,0.0098514792190681,0.0153611210923463,-0.03799856270212,0.0409629895795903,256,0.0409629895795903,16,-0.03799856270212,True
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,0.021290|-0.002066|0.000449|-0.005300|-0.031171|0.044107|0.018954|0.021829|0.018954,4,0.0096718169840699,0.0189543657923103,-0.0311713977721883,0.0441070786920589,64,0.0441070786920589,32,-0.0311713977721883,True
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,0.015002|0.008354|0.003414|0.004941|-0.006019|0.029285|-0.008803|0.060456|0.027758,4,0.0149319279754062,0.0083542939274165,-0.008803449514912,0.0604563420768954,256,0.0604563420768954,128,-0.008803449514912,True
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,C2,9,1|4|8|16|32|64|128|256|FULL,-0.013654|0.000180|-0.028387|-0.003503|0.025871|0.012307|0.012666|0.014553|0.023356,3,0.0048209366391184,0.0123068630973769,-0.0283866331297161,0.0258713618397413,32,0.0258713618397413,8,-0.0283866331297161,True
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,C3,9,1|4|8|16|32|64|128|256|FULL,-0.003683|0.015271|-0.001437|-0.022548|0.011588|0.015092|-0.002605|0.003863|0.006378,5,0.0024354214077534,0.0038627380524614,-0.0225476104922744,0.0152712899748472,4,0.0152712899748472,16,-0.0225476104922744,True
